group,experiment_id,angular_error_deg
independent,axis_v00,4.1148
independent,axis_v00,3.1053
independent,axis_v00,87.7373
independent,axis_v00,16.8582
independent,axis_v00,85.5603
independent,axis_v00,75.7535
independent,axis_v00,8.86
independent,axis_v00,76.5384
independent,axis_v00,89.8283
independent,axis_v00,74.545
independent,axis_v00,14.0205
independent,axis_v00,6.7929
independent,axis_v00,35.3702
independent,axis_v00,68.526
independent,axis_v00,32.7857
independent,axis_v00,4.6399
independent,axis_v00,46.9642
independent,axis_v00,40.1994
independent,axis_v00,2.7231
independent,axis_v00,44.8186
independent,axis_v00,18.39
independent,axis_v00,11.8238
independent,axis_v00,66.7725
independent,axis_v00,64.9101
independent,axis_v00,5.7806
independent,axis_v00,70.3899
independent,axis_v00,61.7356
independent,axis_v00,2.9612
independent,axis_v00,13.6558
independent,axis_v00,2.567
independent,axis_v00,89.0169
independent,axis_v00,1.1471
independent,axis_v00,6.2432
independent,axis_v00,11.8386
independent,axis_v00,9.7091
independent,axis_v00,87.256
independent,axis_v00,86.7141
independent,axis_v00,82.487
independent,axis_v00,86.5008
independent,axis_v00,77.8163
independent,axis_v00,27.7955
independent,axis_v00,17.6693
independent,axis_v00,7.359
independent,axis_v00,69.7522
independent,axis_v00,2.1094
independent,axis_v00,53.8633
independent,axis_v00,16.1889
independent,axis_v00,1.8418
independent,axis_v00,32.4635
independent,axis_v00,88.1885
independent,axis_v00,88.7857
independent,axis_v00,4.6493
independent,axis_v00,87.789
independent,axis_v00,89.8749
independent,axis_v00,18.8498
independent,axis_v00,8.5656
independent,axis_v00,88.9728
independent,axis_v00,87.5242
independent,axis_v00,21.552
independent,axis_v00,87.6747
independent,axis_v00,38.3514
independent,axis_v00,6.8457
independent,axis_v00,89.5334
independent,axis_v00,5.1601
independent,axis_v00,89.7548
independent,axis_v00,19.228
independent,axis_v00,25.1927
independent,axis_v00,4.7893
independent,axis_v00,21.6461
independent,axis_v00,76.565
independent,axis_v00,7.488
independent,axis_v00,54.6127
independent,axis_v00,65.0508
independent,axis_v00,68.8405
independent,axis_v00,9.2854
independent,axis_v00,11.3245
independent,axis_v00,86.895
independent,axis_v00,87.8811
independent,axis_v00,14.1631
independent,axis_v00,4.7004
independent,axis_v00,6.0205
independent,axis_v00,14.3444
independent,axis_v00,4.0728
independent,axis_v00,85.7231
independent,axis_v00,90.0
independent,axis_v00,83.9307
independent,axis_v00,89.5961
independent,axis_v00,11.1413
independent,axis_v00,7.4542
independent,axis_v00,89.7201
independent,axis_v00,74.3778
independent,axis_v00,87.5333
independent,axis_v00,13.9486
independent,axis_v00,87.632
independent,axis_v00,11.0712
independent,axis_v00,87.4525
independent,axis_v00,15.2064
independent,axis_v00,89.062
independent,axis_v00,5.7273
independent,axis_v00,7.7724
independent,axis_v00,4.2846
independent,axis_v00,89.5353
independent,axis_v00,31.567
independent,axis_v00,38.4233
independent,axis_v00,86.1873
independent,axis_v00,4.614
independent,axis_v00,4.9972
independent,axis_v00,10.6747
independent,axis_v00,42.3147
independent,axis_v00,20.8074
independent,axis_v00,72.3466
independent,axis_v00,19.895
independent,axis_v00,39.9555
independent,axis_v00,89.9118
independent,axis_v00,89.7054
independent,axis_v00,2.2105
independent,axis_v00,89.1154
independent,axis_v00,89.5188
independent,axis_v00,6.4487
independent,axis_v00,24.8811
independent,axis_v00,84.8075
independent,axis_v00,36.3512
independent,axis_v00,78.5504
independent,axis_v00,90.0
independent,axis_v00,23.3437
independent,axis_v00,3.028
independent,axis_v00,89.9418
independent,axis_v00,19.6042
independent,axis_v00,66.3514
independent,axis_v00,3.847
independent,axis_v00,89.4083
independent,axis_v00,78.2911
independent,axis_v00,84.7698
independent,axis_v00,36.2115
independent,axis_v00,33.2261
independent,axis_v00,3.267
independent,axis_v00,8.2512
independent,axis_v00,83.6125
independent,axis_v00,15.6898
independent,axis_v00,90.0
independent,axis_v00,82.724
independent,axis_v00,89.5166
independent,axis_v00,29.7614
independent,axis_v00,88.2661
independent,axis_v00,73.0905
independent,axis_v00,77.2366
independent,axis_v00,89.9998
independent,axis_v00,6.0822
independent,axis_v00,88.9899
independent,axis_v00,3.2798
independent,axis_v00,2.7073
independent,axis_v00,82.6054
independent,axis_v00,88.5218
independent,axis_v00,89.7054
independent,axis_v00,88.3258
independent,axis_v00,27.3491
independent,axis_v00,87.1427
independent,axis_v00,55.5789
independent,axis_v00,69.2203
independent,axis_v00,85.1347
independent,axis_v00,29.1012
independent,axis_v00,87.3264
independent,axis_v00,36.3797
independent,axis_v00,22.1631
independent,axis_v00,15.3155
independent,axis_v00,9.9264
independent,axis_v00,52.4417
independent,axis_v00,71.7758
independent,axis_v00,5.1277
independent,axis_v00,41.1376
independent,axis_v00,80.6699
independent,axis_v00,3.305
independent,axis_v00,85.3387
independent,axis_v00,17.8494
independent,axis_v00,76.1198
independent,axis_v00,5.1775
independent,axis_v00,11.9158
independent,axis_v00,0.7882
independent,axis_v00,39.9681
independent,axis_v00,13.5453
independent,axis_v00,12.3778
independent,axis_v00,1.9579
independent,axis_v00,87.1558
independent,axis_v00,50.7944
independent,axis_v00,89.5158
independent,axis_v00,1.5568
independent,axis_v00,3.0224
independent,axis_v00,86.7935
independent,axis_v00,70.8771
independent,axis_v00,18.3125
independent,axis_v00,66.408
independent,axis_v00,18.0949
independent,axis_v00,87.1915
independent,axis_v00,25.4583
independent,axis_v00,6.5734
independent,axis_v00,68.4478
independent,axis_v00,7.0083
independent,axis_v00,85.6411
independent,axis_v00,88.0575
independent,axis_v00,83.1307
independent,axis_v00,7.3009
independent,axis_v00,23.1251
independent,axis_v00,89.5092
independent,axis_v00,6.3766
independent,axis_v00,85.5476
independent,axis_v00,15.0757
independent,axis_v00,88.3175
independent,axis_v00,6.2148
independent,axis_v00,9.2017
independent,axis_v00,23.2984
