experiment,method,n_views,n_objects,angular_error_mean,angular_error_median,angular_error_std,translation_error_mean,translation_error_median,translation_error_std,auc_angular,n_points_mean,precision_5deg,precision_10deg,precision_15deg
axis_v02,svd,26,29,53.7499,56.9763,25.7201,0.058273,0.044868,0.040863,0.1766,5.93,0.0345,0.0345,0.0345
axis_v03,ransac_svd_sde,6,39,50.9708,54.6456,29.1893,0.103549,0.099818,0.062356,0.2255,3.62,0.0256,0.1282,0.2051
axis_v03,ransac_svd_sde,14,69,51.2792,60.3625,28.5541,0.079959,0.06823,0.056759,0.2245,5.74,0.0435,0.1159,0.1449
axis_v03,ransac_svd_sde,26,65,53.5232,57.0934,28.3748,0.08184,0.069223,0.061414,0.1999,10.82,0.0615,0.1231,0.1538
axis_v03,ransac_svd,6,39,50.9708,54.6456,29.1893,0.103549,0.099818,0.062356,0.2255,3.62,0.0256,0.1282,0.2051
axis_v03,ransac_svd,14,69,51.2792,60.3625,28.5541,0.079959,0.06823,0.056759,0.2245,5.74,0.0435,0.1159,0.1449
axis_v03,ransac_svd,26,65,53.5232,57.0934,28.3748,0.08184,0.069223,0.061414,0.1999,10.82,0.0615,0.1231,0.1538
axis_v03,svd_sde,6,39,48.8443,53.0255,31.0572,0.093853,0.099818,0.055124,0.2835,3.62,0.0256,0.1538,0.2308
axis_v03,svd_sde,14,69,42.6601,34.6617,30.4042,0.072211,0.055965,0.05248,0.3356,5.74,0.0725,0.2174,0.2754
axis_v03,svd_sde,26,65,45.9103,50.683,29.6643,0.075068,0.057967,0.04987,0.2908,10.82,0.0308,0.1692,0.2615
axis_v03,svd,6,39,48.8443,53.0255,31.0572,0.093853,0.099818,0.055124,0.2835,3.62,0.0256,0.1538,0.2308
axis_v03,svd,14,69,42.6601,34.6617,30.4042,0.072211,0.055965,0.05248,0.3356,5.74,0.0725,0.2174,0.2754
axis_v03,svd,26,65,45.9103,50.683,29.6643,0.075068,0.057967,0.04987,0.2908,10.82,0.0308,0.1692,0.2615
axis_v04,ransac_svd_sde,1,23,65.8756,69.0101,24.3868,0.072179,0.067623,0.050059,0.0954,2.0,0.0435,0.087,0.087
axis_v04,ransac_svd_sde,6,37,45.4061,48.0088,31.1567,0.116362,0.095678,0.095692,0.3088,4.65,0.0811,0.2162,0.2432
axis_v04,ransac_svd_sde,14,61,41.6866,31.7639,32.9744,0.09987,0.07069,0.086768,0.3739,6.46,0.0492,0.2623,0.3115
axis_v04,ransac_svd_sde,26,48,55.404,66.6904,30.8232,0.108522,0.084141,0.078537,0.2227,8.42,0.0625,0.125,0.1875
axis_v04,ransac_svd,1,23,65.8756,69.0101,24.3868,0.072179,0.067623,0.050059,0.0954,2.0,0.0435,0.087,0.087
axis_v04,ransac_svd,6,37,45.4061,48.0088,31.1567,0.116362,0.095678,0.095692,0.3088,4.65,0.0811,0.2162,0.2432
axis_v04,ransac_svd,14,61,41.6866,31.7639,32.9744,0.09987,0.07069,0.086768,0.3739,6.46,0.0492,0.2623,0.3115
axis_v04,ransac_svd,26,48,55.404,66.6904,30.8232,0.108522,0.084141,0.078537,0.2227,8.42,0.0625,0.125,0.1875
axis_v04,svd_sde,1,23,65.8756,69.0101,24.3868,0.072179,0.067623,0.050059,0.0954,2.0,0.0435,0.087,0.087
axis_v04,svd_sde,6,37,41.6818,37.0239,30.4958,0.072384,0.05631,0.054715,0.3401,4.65,0.0811,0.2432,0.2703
axis_v04,svd_sde,14,61,35.4333,22.2174,33.0982,0.064026,0.049915,0.051815,0.4661,6.46,0.1803,0.377,0.4098
axis_v04,svd_sde,26,48,48.5056,47.8353,32.915,0.071495,0.05504,0.052324,0.3048,8.42,0.0833,0.2083,0.25
axis_v04,svd,1,23,65.8756,69.0101,24.3868,0.072179,0.067623,0.050059,0.0954,2.0,0.0435,0.087,0.087
