experiment,method,n_views,n_objects,angular_error_mean,angular_error_median,angular_error_std,translation_error_mean,translation_error_median,translation_error_std,auc_angular,n_points_mean,precision_5deg,precision_10deg,precision_15deg,sde_mean,sde_median,sde_std,auc_sde,precision_sde_010,precision_sde_020
plane_v04,svd,1,58,11.7647,3.8382,21.0085,0.003683,0.001668,0.004877,0.7978,2.0,0.7586,0.8276,0.8448,0.393533,0.418362,0.242422,0.0359,0.0,0.0172
plane_v04,svd,6,81,45.1972,52.6326,36.6779,0.011872,0.004976,0.01997,0.388,5.04,0.2593,0.3704,0.3827,0.275646,0.211496,0.198924,0.0564,0.0,0.0123
plane_v04,svd,14,90,69.043,85.4147,31.1279,0.008578,0.004743,0.01107,0.1587,14.49,0.1,0.1333,0.1556,0.212987,0.150441,0.164399,0.0676,0.0,0.0111
plane_v04,svd,26,91,72.7594,87.1144,28.2685,0.012374,0.004417,0.029826,0.1188,33.71,0.0659,0.0989,0.0989,0.190989,0.15234,0.128437,0.0738,0.0,0.0
plane_v05,ransac_svd_sde,1,27,61.767,85.5691,36.7616,0.028885,0.005763,0.049436,0.2619,2.0,0.1852,0.2963,0.2963,0.209617,0.185008,0.112484,0.0263,0.0,0.0
plane_v05,ransac_svd_sde,6,39,72.12,86.1274,29.6614,0.01529,0.007836,0.023473,0.1371,3.08,0.1026,0.1282,0.1538,0.323431,0.304128,0.184165,0.0479,0.0,0.0256
plane_v05,ransac_svd_sde,14,43,73.2318,86.803,29.0846,0.01717,0.008607,0.021168,0.1292,4.0,0.0698,0.1395,0.1395,0.320135,0.278689,0.239228,0.0572,0.0,0.0233
plane_v05,ransac_svd_sde,26,56,75.2012,86.749,26.5957,0.034697,0.018963,0.039538,0.1042,5.57,0.0714,0.0893,0.1071,0.317352,0.264911,0.244703,0.015,0.0,0.0
plane_v05,ransac_svd,1,27,61.767,85.5691,36.7616,0.028885,0.005763,0.049436,0.2619,2.0,0.1852,0.2963,0.2963,0.209617,0.185008,0.112484,0.0263,0.0,0.0
plane_v05,ransac_svd,6,39,72.12,86.1274,29.6614,0.01529,0.007836,0.023473,0.1371,3.08,0.1026,0.1282,0.1538,0.323431,0.304128,0.184165,0.0479,0.0,0.0256
plane_v05,ransac_svd,14,43,73.2318,86.803,29.0846,0.01717,0.008607,0.021168,0.1292,4.0,0.0698,0.1395,0.1395,0.320135,0.278689,0.239228,0.0572,0.0,0.0233
plane_v05,ransac_svd,26,56,75.2012,86.749,26.5957,0.034697,0.018963,0.039538,0.1042,5.57,0.0714,0.0893,0.1071,0.317352,0.264911,0.244703,0.015,0.0,0.0
plane_v05,svd_sde,1,27,61.767,85.5691,36.7616,0.028885,0.005763,0.049436,0.2619,2.0,0.1852,0.2963,0.2963,0.209617,0.185008,0.112484,0.0263,0.0,0.0
plane_v05,svd_sde,6,39,72.4647,86.3634,29.827,0.012612,0.004714,0.022379,0.1378,3.08,0.1026,0.1282,0.1538,0.321527,0.304128,0.181878,0.0486,0.0,0.0256
plane_v05,svd_sde,14,43,73.0947,86.6163,29.0137,0.012855,0.007938,0.017407,0.1292,4.0,0.0698,0.1395,0.1395,0.312198,0.278689,0.225401,0.0452,0.0,0.0233
plane_v05,svd_sde,26,56,73.8418,86.6015,26.6622,0.020799,0.009976,0.029014,0.105,5.57,0.0714,0.0893,0.1071,0.265504,0.230968,0.189505,0.013,0.0,0.0
plane_v05,svd,1,27,61.767,85.5691,36.7616,0.028885,0.005763,0.049436,0.2619,2.0,0.1852,0.2963,0.2963,0.209617,0.185008,0.112484,0.0263,0.0,0.0
plane_v05,svd,6,39,72.4647,86.3634,29.827,0.012612,0.004714,0.022379,0.1378,3.08,0.1026,0.1282,0.1538,0.321527,0.304128,0.181878,0.0486,0.0,0.0256
plane_v05,svd,14,43,73.0947,86.6163,29.0137,0.012855,0.007938,0.017407,0.1292,4.0,0.0698,0.1395,0.1395,0.312198,0.278689,0.225401,0.0452,0.0,0.0233
plane_v05,svd,26,56,73.8418,86.6015,26.6622,0.020799,0.009976,0.029014,0.105,5.57,0.0714,0.0893,0.1071,0.265504,0.230968,0.189505,0.013,0.0,0.0
