experiment,method,n_views,n_total,n_objects,angular_error_mean,angular_error_median,angular_error_std,translation_error_mean,translation_error_median,translation_error_std,auc_angular,n_points_mean,precision_5deg,precision_10deg,precision_15deg
axis_v02,svd,26,100,27,79.1839,90.0,23.6933,0.057762,0.044724,0.036297,0.0701,4.04,0.02,0.03,0.04
axis_v03,ransac_svd_sde,6,100,47,70.4231,90.0,28.7597,0.057799,0.052975,0.041511,0.1208,3.26,0.02,0.07,0.1
axis_v03,ransac_svd_sde,14,100,68,64.4849,78.5554,29.2793,0.058951,0.051573,0.039509,0.1426,6.26,0.04,0.06,0.08
axis_v03,ransac_svd_sde,26,100,66,62.8893,80.5465,31.3363,0.074383,0.067437,0.050296,0.1759,9.39,0.02,0.1,0.12
axis_v03,ransac_svd,6,100,47,70.4231,90.0,28.7597,0.057799,0.052975,0.041511,0.1208,3.26,0.02,0.07,0.1
axis_v03,ransac_svd,14,100,68,64.4849,78.5554,29.2793,0.058951,0.051573,0.039509,0.1426,6.26,0.04,0.06,0.08
axis_v03,ransac_svd,26,100,66,62.8893,80.5465,31.3363,0.074383,0.067437,0.050296,0.1759,9.39,0.02,0.1,0.12
axis_v03,svd_sde,6,100,47,70.0084,90.0,29.3926,0.048749,0.037938,0.032139,0.1271,3.26,0.03,0.08,0.11
axis_v03,svd_sde,14,100,68,58.0601,76.2147,33.543,0.041996,0.037797,0.02542,0.2285,6.26,0.08,0.12,0.16
axis_v03,svd_sde,26,100,66,58.7251,78.4481,34.7253,0.050662,0.042749,0.036804,0.2423,9.39,0.06,0.15,0.2
axis_v03,svd,6,100,47,70.0084,90.0,29.3926,0.048749,0.037938,0.032139,0.1271,3.26,0.03,0.08,0.11
axis_v03,svd,14,100,68,58.0601,76.2147,33.543,0.041996,0.037797,0.02542,0.2285,6.26,0.08,0.12,0.16
axis_v03,svd,26,100,66,58.7251,78.4481,34.7253,0.050662,0.042749,0.036804,0.2423,9.39,0.06,0.15,0.2
axis_v04,ransac_svd_sde,1,100,23,84.44,90.0,15.4994,0.072572,0.067623,0.050997,0.0218,2.0,0.0,0.02,0.02
